id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
8b0dab9e-e7a5-43d0-aef2-6af1d8b1ac06,chief.voting,available,1448,,high,low,5,namecheap,,
298b0919-11f0-4910-997b-f5704659f8c5,chief.voto,available,19.99,,high,low,5,name.com,,
6575b162-f350-4476-91b7-238efe5de0aa,chief.vote,available,49.99,,high,low,5,name.com,,
70d58b6c-ea43-42fe-8701-151bc9a2f994,party.voting,available,1448,,high,low,5,namecheap,,
b5861c4a-26bb-434c-a7e0-e50c354d0c48,party.voto,premium,123.75,,high,low,5,name.com,,
25fa7d07-babd-4f45-ba4f-627b2186c152,context.voting,available,1448,,high,medium,7,namecheap,,
9514f171-831e-4aca-b64f-c319c3ecfae6,chief.democrat,available,9.99,,high,low,5,name.com,,
b6705b02-d92b-48f7-9a5e-c4dc9e7a5d22,context.vote,available,49.99,,high,medium,7,name.com,,
e6642181-386c-4736-9cb4-7f0cb20e6af7,context.voto,available,19.99,,high,medium,7,name.com,,
204b1cef-7dc8-44ad-9bc9-04a16162b228,party.democrat,premium,242,242,high,low,5,namesilo,,
a77bea2b-d105-4bd1-b45e-fd307d715361,local.voting,available,1448,,high,medium,5,namecheap,,
a8a8d43b-12d7-455a-8bc8-e3db12b06e35,local.voto,premium,123.75,,high,medium,5,name.com,,
064ff8a8-327e-4d4c-ac4f-5dc0ea828174,news.voting,available,1448,,high,medium,4,namecheap,,
4ed9b443-8f73-4da6-aebc-2a6e00808e5d,office.voting,available,1448,,high,medium,6,namecheap,,
412f1c0a-addf-4bad-a589-a703829777f2,public.voting,available,,,high,low,6,,,
56e64a4b-c678-414d-8f70-43ac470fde60,candidate.voting,available,1448,,high,low,9,namecheap,,
2c2a6694-07b2-4df6-b186-f5e6c26677f7,campaign.voting,available,1448,,high,low,8,namecheap,,
6331123d-0657-4281-824c-67b483c9242f,public.voto,available,19.99,,high,low,6,name.com,,
